ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,choline_tot_mg,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,vit_k_ug,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct
5670,"GROUND TURKEY,85% LN,15% FAT,PATTIES,BRLD",58.25,249,25.88,16.2,1.2,0,0,0,48,2.04,25,235,242,81,3.25,0.256,0.016,35.1,0,0.067,0.232,6.632,1.2,0.383,7,0,7,7,79.1,1.4,97,29,29,0,0,0,0,0,0.07,0.2,8,0,4.127,5.462,4.167,105,85,3 oz,,,0
5671,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT OLY,CKD,BRSD",69.94,149,23.93,5.95,0.98,0,0,0,12,0.94,22,184,239,117,2.54,0.063,0.018,27.9,0,0.088,0.18,5.046,1.1,0.372,5,0,5,5,72,0.41,24,7,7,0,0,0,0,0,0.17,0.1,2,0.2,1.601,2.375,1.28,132,95,"1 drumstick, without skin",105,"1 drumstick, with skin",41
5672,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,CKD,BRSD",66.87,176,24.55,8.63,0.99,0,0,0,12,1.27,25,201,266,77,1.87,0.049,0.017,29.2,0,0.087,0.182,5.742,1.2,0.436,5,0,5,5,68.3,0.42,27,8,8,0,0,0,0,0,0.17,0.3,13,0.3,2.346,3.449,1.556,141,111,"1 thigh, without skin",129,"1 thigh, with skin",32
5673,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,BRSD",42.09,443,14.61,42.76,0.63,0,0,0,9,1,14,130,161,75,0.74,0.04,0.018,16,0,0.05,0.055,3.4,0.79,0.179,3,0,3,3,43.1,0.45,161,48,48,0,0,1,0,101,0.19,0.1,4,0.4,11.914,18.697,8.615,130,28.35,1 oz,453,1 lb,0
5674,"CHICKEN,SKN (DRUMSTICKS & THIGHS),RAW",44.91,440,9.58,44.23,0.49,0.79,0,0,6,0.37,8,95,119,51,0.65,0.038,0.014,10.1,0,0.04,0.032,2.565,0.61,0.116,2,0,2,2,28.3,0.65,196,59,59,0,0,1,0,103,0.27,0.2,6,0.4,12.102,18.975,9.056,105,28.35,1 oz,453,1 lb,0
1125,"EGG,YOLK,RAW,FRSH",52.31,322,15.86,26.54,1.71,3.59,0,0.56,129,2.73,5,390,109,48,2.3,0.077,0.055,56,0,0.176,0.528,0.024,2.99,0.35,146,0,146,146,820.2,1.95,1442,381,371,38,88,33,0,1094,2.58,5.4,218,0.7,9.551,11.738,4.204,1085,17,1 large,243,1 cup,0
5675,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD",39.45,462,16.57,43.99,0.72,0,0,0,10,0.9,16,151,181,85,0.86,0.045,0.02,17.4,0,0.052,0.062,3.917,0.9,0.197,3,0,3,3,48.9,0.5,181,54,54,0,0,1,0,91,0.23,0.2,6,0.5,12.146,19.185,8.787,132,28.35,1 oz,453,1 lb,0
5676,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MT & SKN,CKD,BRSD",66.33,187,22.72,10.73,0.93,0,0,0,12,0.94,21,177,229,111,2.3,0.06,0.018,26.4,0,0.083,0.164,4.832,1.06,0.347,4,0,4,4,68.3,0.41,42,12,12,0,0,0,0,13,0.17,0.1,2,0.3,2.939,4.493,2.232,132,95,"1 drumstick, without skin",105,"1 drumstick, with skin",32
5677,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD",61.93,229,22.57,15.43,0.91,0,0,0,11,1.21,23,187,245,76,1.64,0.048,0.018,26.6,0,0.08,0.157,5.276,1.118,0.385,4,0,4,4,63.3,0.43,54,16,16,0,0,0,0,20,0.17,0.3,11,0.3,4.253,6.488,2.963,139,111,"1 thigh, without skin",129,"1 thigh, with skin",16
5678,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,RAW",77.71,106,19.19,3.26,0.99,0,0,0,9,0.72,16,143,192,152,2,0.061,0.01,22.4,0,0.098,0.243,4.94,1.2,0.385,3,0,3,3,75.3,0.42,28,8,8,0,0,0,0,102,0.4,0.2,7,0,0.954,1.29,0.802,92,143,"1 drumstick, with skin",136,"1 drumstick, without skin",43
5679,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD",69.5,146,25.34,5,1.19,0,0,0,12,1.1,20,197,250,190,2.64,0.08,0.009,30.8,0,0.102,0.297,5.913,1.3,0.413,4,0,4,4,115,0.41,20,6,6,0,0,0,0,100,0.23,0.1,6,0,1.438,2.03,1.203,124,91,"1 drumstick, without skin",129,"1 drumstick, with skin",74
5680,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,CKD,BRSD",70.18,149,22.99,6.33,1.13,0,0,0,14,0.78,21,170,229,169,2.34,0.049,0.014,29.8,0,0.08,0.16,5.07,,0.31,4,0,4,4,69.2,0.31,23,7,7,0,0,0,0,0,0.17,0.1,2,3.7,1.73,2.62,1.349,135,95,"1 drumstick, without skin",106,"1 drumstick, with skin",39
5681,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,CKD,BRSD",68.62,164,23,7.96,1.19,0,0,0,12,1.07,24,203,290,197,1.86,0.052,0.017,27.2,0,0.08,0.14,6.33,,0.308,4,0,4,4,64,0.34,25,8,8,0,0,0,0,0,0.24,0.3,12,0.2,2.04,3.027,1.346,126,85,3 oz,132,"1 thigh, without skin",33
5682,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,RAW",77.16,110,19.11,3.69,1.04,0,0,0,8,0.6,21,175,234,156,1.53,0.053,0.009,20.9,0,0.087,0.23,5.3,1.25,0.433,3,0,3,3,75.1,0.56,19,6,6,0,0,0,0,87,0.26,0.1,3,0,0.899,1.222,0.767,87,85,3 oz,148,"1 thigh, without skin",56
5683,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD",67.86,164,24.23,7.73,1.19,0,0,0,10,0.98,24,202,268,177,1.9,0.074,0.011,33.7,0,0.091,0.272,6.343,1.4,0.444,4,0,4,4,99.1,0.37,27,8,8,0,0,1,0,92,0.36,0.3,13,0,2.405,3.463,1.863,122,130,"1 thigh, with skin",112,"1 thigh, without skin",31
5684,"CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,CKD,BRSD",46.96,403,12.26,38.94,0.84,1,0,0,14,0.65,12,112,146,139,0.63,0.029,0.016,15.6,0,0.05,0.04,3.3,,0.144,2,0,2,2,36.2,0.27,147,44,44,0,0,0,0,0,0.18,0.1,3,0.4,10.605,17.201,7.994,124,28.35,1 oz,,,0
1126,"EGG,YOLK,RAW,FRZ,PAST",56.44,296,15.53,25.6,1.62,0.81,0,0.16,134,4.55,11,420,121,67,3.17,0,0.078,56.4,0,0.223,0.563,0.031,3.437,0.412,151,0,151,151,639.3,1.9,1469,419,419,36,10,32,0,904,2.24,6,238,0.7,8.615,9.956,4.827,991,28.35,1 oz,227,.5 lb,0
5685,"CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,RAW",50.37,386,11.11,37.9,0.6,0.01,0,0,7,0.51,7,88,101,139,0.62,0.03,0.006,10.8,0,0.035,0.06,2.655,,0.113,2,0,2,2,28.9,0.68,186,56,56,0,0,0,0,0,0.44,0.4,14,0,10.565,17.099,8.195,113,28.35,1 oz,,,0
5686,"CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,CKD,RSTD",40.73,421,20.31,37.6,0.91,0.44,0,0,15,1.17,18,176,198,162,1.51,0.068,0.013,20,0,0.057,0.125,4.045,,0.185,3,0,3,3,49.6,0.56,176,53,53,0,0,0,0,0,0.45,0.1,6,0.5,11,17.5,9,154,28.35,1 oz,,,0
5687,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,CKD,BRSD",67.06,183,21.55,10.71,1.09,0.13,0,0,14,0.76,20,162,218,165,2.11,0.046,0.014,27.9,0,0.076,0.144,4.832,,0.288,4,0,4,4,64.7,0.3,40,12,12,0,0,0,0,0,0.17,0.1,3,3.3,2.923,4.58,2.242,133,106,"1 drumstick, with skin",95,"1 drumstick, without skin",30
5688,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,RAW",73.79,146,18.03,8.24,0.94,0,0,0,8,0.69,15,135,179,150,1.8,0.057,0.009,20.8,0,0.089,0.217,4.612,1.028,0.346,3,0,3,3,68.7,0.45,50,15,15,0,0,0,0,87,0.4,0.2,8,0,2.334,3.561,1.864,95,143,"1 drumstick, with skin",130,"1 drumstick, without skin",68
5689,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD",65.97,180,24.72,9,1.16,0.05,0,0,13,1.11,20,194,244,186,2.5,0.079,0.01,29.5,0,0.096,0.276,5.684,1.141,0.385,4,0,4,4,109.5,0.43,39,12,12,0,0,0,0,88,0.26,0.2,7,0,2.656,4.058,2.177,128,129,"1 drumstick, with skin",91,"1 drumstick, without skin",66
5690,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,CKD,BRSD",63.97,215,20.7,14.62,1.12,0.21,0,0,12,0.98,21,183,259,185,1.6,0.047,0.016,24.7,0,0.074,0.119,5.679,,0.273,4,0,4,4,58,0.32,52,15,15,0,0,0,0,0,0.23,0.3,10,0.3,3.881,6.073,2.775,125,85,3 oz,132,"1 thigh, without skin",15
5691,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,RAW",68.63,197,16.56,14.58,0.9,0,0,0,8,0.57,16,147,191,151,1.24,0.046,0.008,17.7,0,0.071,0.176,4.458,0.852,0.331,3,0,3,3,60.4,0.6,72,22,22,0,0,0,0,59,0.32,0.2,7,0,3.975,6.275,3.131,95,85,3 oz,148,"1 thigh, without skin",32
5692,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD",62.6,214,23.47,13.81,1.14,0.09,0,0,11,1.02,23,197,254,174,1.82,0.073,0.011,31.1,0,0.084,0.243,5.898,1.128,0.394,4,0,4,4,93.6,0.41,56,17,17,0,0,0,0,74,0.38,0.3,14,0,4.145,6.392,3.275,128,130,"1 thigh, with skin",112,"1 thigh, without skin",33
5693,"CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT ONLY",62.96,212,21.85,13.87,1.4,0.31,0,0.31,33,0.82,18,212,263,563,1.74,0.067,,41.1,0,0.069,0.181,5.175,,0.121,7,0,7,7,55.1,0.61,51,15,15,0,0,0,0,0,0.24,0,0,0,3.613,5.885,2.044,117,85,3 oz,182,1 back,51
5694,"TURKEY,DK MEAT FROM WHL,MEAT ONLY,W/ ADDED SOLN,RAW",75.86,115,19.27,4.12,1.19,0.1,0,0.1,15,0.9,21,191,226,167,2.68,0.106,0.01,22.4,0,0.06,0.247,5.745,0.935,0.425,6,,6,,63,2.05,43,13,13,0,0,0,0,0,0.12,0.3,13,0,1.124,1.244,1.009,79,114,4 oz,,,47
1127,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",51.23,307,13.87,22.82,1.13,10.95,0,10.3,124,3.7,10,404,105,70,3.06,0.012,0.08,53.5,0,0.14,0.523,0.037,3.287,0.398,174,0,174,174,669.3,1.64,1103,316,313,38,0,33,0,967,2.25,3.1,123,0.7,7.11,8.885,3.856,917,28.35,1 oz,227,.5 lb,0
5695,"TURKEY,DK MEAT,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD",66.85,158,26.1,6,1.24,0,0,0,16,1.07,24,208,227,201,3.4,0.128,0.017,31.4,0,0.056,0.335,6.827,1.015,0.435,8,0,8,8,90.3,1.65,18,5,5,0,0,0,0,0,0.07,0.3,10,0,1.807,2.061,1.662,105,85,3 oz,,,45
5696,"TURKEY FROM WHL,LT MEAT,MEAT ONLY,W/ ADDED SOLN,RAW",76.42,101,21.54,1.66,1.42,0,0,0.05,14,0.54,25,236,242,206,1.3,0.052,0.007,22.7,0,0.033,0.145,9.924,0.775,0.775,7,,7,,48.3,0.63,20,6,6,0,0,0,0,0,0.06,0.1,5,0,0.536,0.491,0.479,54,114,4 oz,,,31
5697,"TURKEY FROM WHL,LT MEAT,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD",70.18,127,26.97,2.08,1.44,0,0,0,13,0.55,30,255,249,238,1.49,0.062,0.011,30.2,0,0.038,0.208,11.75,0.9,0.697,9,0,9,9,69.8,1.7,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,69,85,3 oz,,,25
5698,"TURKEY,SKN FROM WHL (LIGHT & DARK),W/ ADDED SOLN,RAW",50,381,12.29,36.8,0.69,0.21,0,0.1,13,0.57,9,99,107,138,0.82,0.046,0.008,10.1,0,0.016,0.095,3.26,0.495,0.16,4,,4,,34.8,0.88,284,85,85,0,0,0,0,0,0.09,1.1,46,0,10.43,13.908,10.86,94,28.35,1 oz,,,0
5699,"TURKEY,SKN FROM WHL,(LIGHT & DARK),W/ ADDED SOLN,RSTD",36.92,451,22.15,40.31,1.37,0,0,0,25,1.08,28,244,263,234,1.61,0.068,0.025,21.1,0,0.024,0.235,7.295,0.92,0.29,7,0,7,7,73.8,1.59,262,79,79,0,0,0,0,0,0.15,1.4,54,0,11.356,15.094,11.903,144,28.35,1 oz,,,0
5700,"TURKEY,DK MEAT FROM WHL,MEAT & SKN,W/ ADDED SOLN,RAW",70.55,169,17.84,10.83,1.08,0.15,0,0.1,14,0.83,18,172,202,161,2.3,0.094,0.01,19.9,0,0.051,0.216,5.235,0.845,0.37,6,,6,,57.2,1.81,93,28,28,0,0,0,0,0,0.11,0.5,20,0,2.6,4.4,3.81,82,114,4 oz,453,1 lb,34
5701,"TURKEY,DK MEAT FROM WHL,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD",62.66,199,25.55,10.81,1.26,0,0,0,17,1.08,25,213,232,206,3.15,0.119,0.018,30,0,0.052,0.321,6.893,1.002,0.415,8,0,8,8,88,1.64,52,16,16,0,0,0,0,0,0.08,0.4,16,0,3.145,3.887,3.097,110,85,3 oz,,,37
5702,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,W/ ADDED SOLN,RAW",72.09,147,20.02,7.42,1.31,0.14,0,0.06,14,0.54,22,214,220,195,1.22,0.051,0.007,20.6,0,0.03,0.137,8.832,0.729,0.675,6,,6,,46.1,0.67,64,19,19,0,0,0,0,0,0.07,0.3,11,0,1.35,3.2,2.6,60,114,4 oz,453,1 lb,18
5703,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD",67.09,157,26.52,5.64,1.43,0,0,0,14,0.6,30,254,250,237,1.5,0.062,0.013,29.3,0,0.036,0.211,11.336,0.902,0.659,8,0,8,8,70.2,1.69,35,10,10,0,0,0,0,0,0.07,0.4,14,0,1.593,1.971,1.585,76,85,3 oz,453,1 lb,18
5704,"TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RAW",76.25,105,20.87,2.39,1.35,0.14,0,0.06,14,0.64,24,223,237,194,1.7,0.068,0.008,22.6,0,0.041,0.175,8.69,0.822,0.672,7,,7,,52.6,1.05,27,8,8,0,0,0,0,0,0.08,0.2,7,0,0.535,0.736,0.63,61,85,3 oz,5717,1 bird,47
1128,"EGG,WHL,CKD,FRIED",69.47,196,13.61,14.84,1.26,0.83,0,0.4,62,1.89,13,215,152,207,1.39,0.078,0.03,33.1,0,0.044,0.495,0.082,1.66,0.184,51,0,51,51,317.1,0.97,787,219,216,0,35,10,0,543,1.31,2.2,88,5.6,4.323,6.182,3.251,401,46,1 large,,,0
5705,"TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RSTD",68.81,140,26.61,3.7,1.36,0,0,0,14,0.77,27,235,239,223,2.28,0.089,0.014,30.7,0,0.045,0.261,9.721,0.947,0.589,8,0,8,8,78.2,1.68,14,4,4,0,0,0,0,0,0.06,0.3,10,0,1.093,1.218,0.996,84,28,3 oz,4147,1 bird,45
5706,"TURKEY,WHL,MEAT & SKN,W/ ADDED SOLN,RAW",71.26,158,19.03,9.1,1.21,0.15,0,0.08,14,0.67,21,195,211,180,1.68,0.069,0.008,20.2,0,0.039,0.17,7.246,0.777,0.54,6,,6,,50.8,1.16,78,23,23,0,0,0,0,0,0.09,0.4,15,0,1.7,3.9,3.5,70,85,3 oz,5717,1 bird,34
5707,"TURKEY,WHL,MEAT & SKN,W/ ADDED SOLN,RSTD",65.05,176,26.09,8.01,1.36,0,0,0,15,0.81,27,236,242,224,2.2,0.087,0.015,29.6,0,0.043,0.257,9.436,0.944,0.554,8,0,8,8,77.7,1.67,43,13,13,0,0,0,0,0,0.07,0.4,15,0,2.301,2.851,2.28,91,85,3 oz,4147,1 bird,36
5708,"TURKEY,RTL PARTS,BREAST,MEAT ONLY,W/ ADDED SOLN,RAW",75.95,111,21.99,2.53,1.19,0,0,0,8,0.41,25,181,237,124,1.1,0.043,0.005,22.3,0,0.049,0.155,10,0.95,0.84,7,0,7,7,64.7,0.33,17,5,5,0,0,0,0,4,0.1,0.2,8,0,0.6,0.94,0.98,60,1171,1 breast,85,3 oz,25
5709,"TURKEY,RTL PARTS,BREAST,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD",69.99,130,27.94,2.08,1.4,0,0,0,15,0.59,27,219,264,184,1.33,0.057,0.006,28.9,0,0.045,0.195,11.5,0.965,0.734,9,0,9,9,74,0.3,8,3,3,0,0,0,0,5,0.08,0.1,6,0,0.428,0.67,0.668,74,85,3 oz,852,1 breast,24
5710,"TURKEY,RTL PARTS,BREAST,MEAT ONLY,RAW",74.66,114,23.34,2.33,1.06,0,0,0,9,0.76,27,185,267,74,1.16,0.054,0.006,22.1,0,0.052,0.165,10.295,1.05,0.814,7,,7,,52.3,1.35,16,5,5,0,0,0,0,8,0.09,0.2,7,0,0.344,0.562,0.639,53,85,3 oz,1150,1 breast,25
5711,"TURKEY,RTL PARTS,BREAST,MEAT ONLY,CKD,RSTD",67.53,136,29.51,1.97,1.25,0,0,0,14,0.97,28,253,297,114,1.52,0.06,0.005,30.7,0,0.043,0.19,11.75,1.035,0.83,9,0,9,9,76.4,1.76,9,3,3,0,0,0,0,7,0.06,0.2,10,0,0.66,0.64,0.67,70,863,1 breast,85,3 oz,20
5712,"TURKEY,RTL PARTS,WING,MEAT ONLY,RAW",75.05,112,22.48,2.49,0.94,0,0,0,6,0.6,19,147,222,69,2.61,0.047,0.005,21.6,0,0.038,0.127,6.377,0.68,0.705,7,,7,,50.4,0.92,17,5,5,0,0,0,0,0,0.11,0.2,7,0,0.458,0.478,0.472,66,28,3 oz,518,1 wing,55
5713,"TURKEY,RTL PARTS,WING,MEAT ONLY,CKD,RSTD",64.04,170,30.17,5.51,1.05,0,0,0,12,0.82,21,180,207,103,3.24,0.059,0.004,30.6,0,0.039,0.18,8.47,0.735,0.654,10,0,10,10,78.1,1.25,25,8,8,0,0,0,0,0,0.17,0.7,28,0,1.357,1.68,1.426,97,85,3 oz,375,1 wing,52
5714,"TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,RAW",50.08,380,14.35,35.83,0.49,0,0,0,4,0.76,7,80,93,78,0.88,0.041,0.003,11.2,0,0.026,0.08,2.745,0.59,0.114,5,,5,,40.7,1.95,263,79,79,0,0,0,0,9,0.08,0.7,30,0,10.216,13.952,10.91,111,28.35,1 oz,,,0
1129,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.08,1.12,0,1.12,50,1.19,10,172,126,124,1.05,0.013,0.026,30.8,0,0.066,0.513,0.064,1.398,0.121,44,0,44,44,293.8,1.11,520,149,148,0,11,10,0,353,1.03,2.2,87,0.3,3.267,4.077,1.414,373,136,"1 cup, chopped",8.5,1 tbsp,12
5715,"TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,CKD,RSTD",39.42,414,24.58,35.03,1.15,0,0,0,6,1.65,24,230,225,106,1.65,0.057,0.009,20.2,0,0.046,0.235,5.4,0.98,0.287,8,,8,,75.8,1.85,198,59,59,0,0,0,0,7,0.13,0.8,31,0,10.184,13.718,10.794,139,28.35,1 oz,,,0
5716,"TURKEY,RTL PARTS,DRUMSTK,MEAT ONLY,RAW",75.67,118,20.52,3.97,0.91,0,0,0,10,1.18,22,158,220,87,3.12,0.082,0.006,21.2,0,0.051,0.3,5.003,1.1,0.361,6,,6,,75.6,1.9,68,20,20,0,0,0,0,4,0.19,0.4,17,0,1.073,1.163,1.072,79,85,3 oz,356,1 drumstick,39
5717,"TURKEY,RTL PARTS,THIGH,MEAT ONLY,RAW",75.62,116,20.6,3.69,1.03,0,0,0,4,1.42,22,177,269,75,2.95,0.083,0.006,21.5,0,0.059,0.307,6.183,1.3,0.482,7,,7,,75.9,2.17,63,19,19,0,0,0,0,6,0.18,0.5,20,0,0.782,0.749,0.722,78,85,3 oz,454,1 thigh,32
5718,"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",70.18,127,26.97,2.08,1.44,0,0,0,13,0.55,30,255,249,238,1.49,0.062,0.011,30.2,0,0.038,0.208,11.75,0.9,0.697,7,0,7,7,69.8,0.79,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,69,85,3 oz,1654,1 breast,16
5719,"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",75.86,115,19.27,4.12,1.19,0.15,0,0.1,15,0.9,21,191,226,167,2.68,0.106,0.01,22.4,0,0.06,0.247,5.745,0.935,0.425,6,,6,,63,2.05,43,13,13,0,0,0,0,0,0.12,0.3,13,0,1.124,1.244,1.009,79,114,4 oz,1245,1 back,63
5720,"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",70.18,127,26.97,2.08,1.44,0,0,0,13,0.55,30,255,249,238,1.49,0.062,0.011,30.2,0,0.038,0.208,11.75,0.9,0.697,6,0,6,6,69.8,1.7,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,69,85,3 oz,949,1 back,61
5721,"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",76.42,102,21.54,1.66,1.42,0.14,0,0.05,14,0.54,25,236,242,206,1.3,0.052,0.007,22.7,0,0.033,0.145,9.924,0.775,0.775,7,,7,,48.3,0.63,20,6,6,0,0,0,0,0,0.06,0.1,5,0,0.536,0.491,0.479,54,114,4 oz,2110,1 breast,22
5722,"TURKEY,RTL PARTS,THIGH,MEAT ONLY,CKD,RSTD",66.98,159,25.14,6.25,1.18,0.46,0,0,4,1.59,23,200,296,104,3.26,0.094,0.006,29.3,0,0.05,0.323,6.903,1.2,0.484,8,0,8,8,103.8,1.63,19,6,6,0,0,0,0,1,0.07,0.3,10,0,2.02,2.31,1.92,116,85,3 oz,348,1 thigh,23
5723,"TURKEY,RTL PARTS,DRUMSTK,MEAT ONLY,CKD,RSTD",65.14,173,28.61,6.52,1.06,0,0,0,17,1.57,24,193,257,112,4.5,0.112,0.007,31,0,0.065,0.353,5.593,1.15,0.41,9,0,9,9,118.1,2.53,20,6,6,0,0,0,0,7,0.07,0.3,11,0,1.707,2.63,2.187,118,28,3 oz,275,1 drumstick,36
5724,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",75.86,115,19.27,4.12,1.19,0.15,0,0.1,15,0.9,21,191,226,167,2.68,0.106,0.01,22.4,0,0.06,0.247,5.745,0.935,0.425,6,,6,,63,2.05,43,13,13,0,0,0,0,0,0.12,0.3,13,,1.124,1.244,1.009,79,114,4 oz,359,1 drumstick,38
1130,"EGG,WHOLE,COOKED,OMELET",76.13,154,10.57,11.66,1.01,0.64,0,0.31,48,1.48,11,167,117,155,1.09,0.063,0.024,25.8,0,0.034,0.386,0.064,1.289,0.143,39,0,39,39,247.6,0.76,617,172,169,0,28,8,0,423,1.29,1.7,69,4.5,3.319,4.843,2.712,313,15,1 tbsp,61,1 large,0
5725,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",66.85,158,26.1,6,1.24,0,0,0,16,1.07,24,208,227,201,3.4,0.128,0.017,31.4,0,0.056,0.335,6.827,1.015,0.435,8,0,8,8,90.3,1.65,18,5,5,0,0,0,0,0,0.07,0.3,10,0,1.807,2.061,1.662,105,85,3 oz,217,1 drumstick,40
5726,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",75.86,115,19.27,4.12,1.19,0.15,0,0.1,15,0.9,21,191,226,167,2.68,0.106,0.01,22.4,0,0.06,0.247,5.745,0.935,0.425,6,,6,,63,2.05,43,13,13,0,0,0,0,0,0.12,0.3,13,0,1.124,1.244,1.009,79,85,3 oz,424,1 thigh,30
5727,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,W/ ADDED SOLN,RAW",72.76,144,20.79,6.75,1.13,0.03,0,0.01,9,0.43,23,171,221,126,1.07,0.043,0.005,20.8,0,0.045,0.148,9.171,0.894,0.756,7,0,7,7,61,0.4,50,15,15,0,0,0,0,3,0.1,0.3,13,0,1.24,3.04,2.47,64,85,3 oz,1171,1 breast,15
5728,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",66.85,158,26.1,6,1.24,0,0,0,16,1.07,24,208,227,201,3.4,0.128,0.017,31.4,0,0.056,0.335,6.827,1.015,0.435,8,0,8,8,90.3,1.65,18,5,5,0,0,0,0,0,0.07,0.3,10,0,1.807,2.061,1.662,105,85,3 oz,327,1 thigh,24
5729,"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW",76.42,102,21.54,1.66,1.42,0.14,0,0.05,14,0.54,25,236,242,206,1.3,0.052,0.007,22.7,0,0.033,0.145,9.924,0.775,0.775,7,,7,,48.3,0.63,20,6,6,0,0,0,0,0,0.06,0.1,5,0,0.536,0.491,0.479,54,85,3 oz,358,1 wing,55
5730,"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",70.18,127,26.97,2.08,1.44,0,0,0,13,0.55,30,255,249,238,1.49,0.062,0.011,30.2,0,0.038,0.208,11.75,0.9,0.697,9,0,9,9,69.8,1.7,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,69,85,3 oz,219,1 wing,59
5732,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,RAW",70.98,155,21.88,7.45,0.98,0,0,0,9,0.77,24,176,247,72,1.15,0.054,0.006,20.4,0,0.048,0.157,9.4,0.972,0.724,7,0,7,7,50.1,1.28,54,16,16,0,0,0,0,7,0.09,0.3,12,0,1.756,2.191,1.834,63,85,3 oz,1150,1 breast,14
